SNPS,MAPPED_GENE,DISEASE/TRAIT,P-VALUE,OR or BETA,95% CI (TEXT),STUDY ACCESSION,PUBMEDID
rs12883788,AKAP6,Type 2 diabetes,3e-16,0.0327,[0.025-0.041] unit decrease,GCST010557,32541925
rs10998338,TET1,Type 2 diabetes,1e-15,0.0308,[0.023-0.038] unit decrease,GCST010557,32541925
rs2277339,HSD17B6,Type 2 diabetes,7e-15,0.0437,[0.033-0.055] unit increase,GCST010557,32541925
rs2277339,PRIM1,Type 2 diabetes,7e-15,0.0437,[0.033-0.055] unit increase,GCST010557,32541925
rs73239895,SLC16A11 - CLEC10A,Type 2 diabetes,3e-15,0.0869,[0.065-0.108] unit decrease,GCST010557,32541925
rs539515,LINC01741 - SEC16B,Type 2 diabetes,5e-15,0.0358,[0.027-0.045] unit increase,GCST010557,32541925
rs4335,ACE,Type 2 diabetes,1e-15,0.0304,[0.023-0.038] unit increase,GCST010557,32541925
rs2169033,LCORL - LINC02438,Type 2 diabetes,1e-15,0.0325,[0.024-0.041] unit decrease,GCST010557,32541925
rs7224711,CYTH1,Type 2 diabetes,1e-15,0.0307,[0.023-0.038] unit increase,GCST010557,32541925
rs314879,DDX39AP1 - SNORD36,Type 2 diabetes,3e-15,0.0364,[0.027-0.045] unit increase,GCST010557,32541925
rs12001437,RN7SKP114 - DCAF12,Type 2 diabetes,4e-15,0.0301,[0.023-0.038] unit increase,GCST010557,32541925
rs34247110,KCNK17 - KCNK16,Type 2 diabetes,2e-15,0.0305,[0.023-0.038] unit decrease,GCST010557,32541925
rs7178762,USP3,Type 2 diabetes,2e-15,0.0323,[0.024-0.04] unit increase,GCST010557,32541925
rs7178762,USP3-AS1,Type 2 diabetes,2e-15,0.0323,[0.024-0.04] unit increase,GCST010557,32541925
rs117316450,COPB1,Type 2 diabetes,9e-15,0.1328,[0.099-0.166] unit increase,GCST010557,32541925
rs2040792,NF1,Type 2 diabetes,2e-15,0.031,[0.023-0.039] unit increase,GCST010557,32541925
rs6741676,SCHLAP1,Type 2 diabetes,7e-15,0.0324,[0.024-0.041] unit decrease,GCST010557,32541925
rs2591392,JMY,Type 2 diabetes,2e-15,0.0306,[0.023-0.038] unit increase,GCST010557,32541925
rs4810145,GNAS-AS1,Type 2 diabetes,1e-15,0.0303,[0.023-0.038] unit increase,GCST010557,32541925
rs28819812,LINC02272 - PDGFC,Type 2 diabetes,3e-15,0.033,[0.025-0.041] unit increase,GCST010557,32541925
rs9872347,TFRC - LINC00885,Type 2 diabetes,5e-14,0.0318,[0.024-0.04] unit increase,GCST010557,32541925
rs7629,TRIM59,Type 2 diabetes,8e-14,0.0311,[0.023-0.039] unit decrease,GCST010557,32541925
rs7629,TRIM59-IFT80,Type 2 diabetes,8e-14,0.0311,[0.023-0.039] unit decrease,GCST010557,32541925
rs2297508,SREBF1,Type 2 diabetes,2e-14,0.0305,[0.023-0.038] unit decrease,GCST010557,32541925
rs8061528,SLX4,Type 2 diabetes,3e-14,0.0346,[0.026-0.043] unit decrease,GCST010557,32541925
rs6792892,RBM6,Type 2 diabetes,1e-14,0.0306,[0.023-0.038] unit increase,GCST010557,32541925
rs56392746,HORMAD2-AS1,Type 2 diabetes,3e-14,0.0579,[0.043-0.073] unit increase,GCST010557,32541925
rs73221116,PCGF3,Type 2 diabetes,2e-19,0.0955,[0.075-0.116] unit decrease,GCST010557,32541925
rs4809906,LINC01524,Type 2 diabetes,5e-18,0.0345,[0.027-0.042] unit increase,GCST010557,32541925
rs7147483,CLEC14A - LINC00639,Type 2 diabetes,9e-18,0.0352,[0.027-0.043] unit decrease,GCST010557,32541925
rs149336329,MYO5C,Type 2 diabetes,3e-18,0.0869,[0.067-0.107] unit increase,GCST010557,32541925
rs838720,DGKD,Type 2 diabetes,4e-18,0.034,[0.026-0.042] unit increase,GCST010557,32541925
rs4930726,CCDC92,Type 2 diabetes,8e-18,0.0353,[0.027-0.043] unit decrease,GCST010557,32541925
rs3996350,KLF14 - LINC-PINT,Type 2 diabetes,1e-18,0.0347,[0.027-0.042] unit increase,GCST010557,32541925
rs55691245,ACSL1,Type 2 diabetes,2e-18,0.0561,[0.044-0.069] unit increase,GCST010557,32541925
rs80234489,SINHCAF,Type 2 diabetes,6e-18,0.0966,[0.075-0.119] unit increase,GCST010557,32541925
rs13040225,CEBPB - PELATON,Type 2 diabetes,1e-17,0.0329,[0.025-0.04] unit decrease,GCST010557,32541925
rs9472139,LINC02537,Type 2 diabetes,1e-17,0.0376,[0.029-0.046] unit decrease,GCST010557,32541925
rs1801645,PIM3,Type 2 diabetes,4e-17,0.0374,[0.029-0.046] unit increase,GCST010557,32541925
rs60384372,MSRA,Type 2 diabetes,4e-17,0.0352,[0.027-0.043] unit decrease,GCST010557,32541925
rs7941510,TRIM66,Type 2 diabetes,2e-17,0.0353,[0.027-0.044] unit increase,GCST010557,32541925
rs177045,TMEM256P1 - NEUROG3,Type 2 diabetes,3e-17,0.0335,[0.026-0.041] unit increase,GCST010557,32541925
rs10773000,CDK2AP1,Type 2 diabetes,6e-17,0.034,[0.026-0.042] unit increase,GCST010557,32541925
rs10773000,MTRFR,Type 2 diabetes,6e-17,0.034,[0.026-0.042] unit increase,GCST010557,32541925
rs501470,SLC22A3,Type 2 diabetes,2e-17,0.032,[0.025-0.039] unit decrease,GCST010557,32541925
rs6059662,RALY,Type 2 diabetes,2e-17,0.0369,[0.028-0.045] unit increase,GCST010557,32541925
rs2282456,TENT5C,Type 2 diabetes,7e-17,0.0351,[0.027-0.043] unit decrease,GCST010557,32541925
rs7633673,MBNL1,Type 2 diabetes,8e-16,0.0306,[0.023-0.038] unit increase,GCST010557,32541925
rs7674402,MOB1B,Type 2 diabetes,4e-16,0.0523,[0.04-0.065] unit decrease,GCST010557,32541925
rs8054556,TMEM219,Type 2 diabetes,2e-16,0.0317,[0.024-0.039] unit decrease,GCST010557,32541925
rs945187,FRAT1 - FRAT2,Type 2 diabetes,8e-16,0.031,[0.023-0.039] unit increase,GCST010557,32541925
rs56243018,ZBTB38,Type 2 diabetes,9e-16,0.0833,[0.063-0.104] unit decrease,GCST010557,32541925
rs2409742,LINC00529,Type 2 diabetes,3e-16,0.0341,[0.026-0.042] unit increase,GCST010557,32541925
rs10993072,PTPDC1 - MIRLET7A1HG,Type 2 diabetes,3e-14,0.0315,[0.023-0.04] unit decrease,GCST010557,32541925
rs7132908,FAIM2,Type 2 diabetes,7e-14,0.0297,[0.022-0.038] unit decrease,GCST010557,32541925
rs62492368,AOC1,Type 2 diabetes,2e-14,0.0311,[0.023-0.039] unit decrease,GCST010557,32541925
rs9390022,ADGRG6 - HIVEP2,Type 2 diabetes,5e-14,0.0306,[0.023-0.039] unit decrease,GCST010557,32541925
rs7659468,SLC9B1,Type 2 diabetes,1e-14,0.0287,[0.021-0.036] unit decrease,GCST010557,32541925
rs6538805,RMST,Type 2 diabetes,1e-14,0.0303,[0.023-0.038] unit decrease,GCST010557,32541925
rs2732469,OR10AD1 - H1-7,Type 2 diabetes,5e-14,0.0316,[0.023-0.04] unit increase,GCST010557,32541925
rs303760,RMC1,Type 2 diabetes,2e-14,0.0334,[0.025-0.042] unit decrease,GCST010557,32541925
rs11078916,CDK12 - NEUROD2,Type 2 diabetes,1e-14,0.0326,[0.024-0.041] unit decrease,GCST010557,32541925
rs75253922,INSR,Type 2 diabetes,8e-14,0.0402,[0.03-0.051] unit increase,GCST010557,32541925
rs1815591,SLCO4A1,Type 2 diabetes,3e-14,0.0313,[0.023-0.039] unit decrease,GCST010557,32541925
rs3816605,NUP160,Type 2 diabetes,9e-14,0.0318,[0.023-0.04] unit decrease,GCST010557,32541925
rs7227272,MIR924HG,Type 2 diabetes,5e-13,0.0408,[0.03-0.052] unit increase,GCST010557,32541925
rs7895872,BBIP1,Type 2 diabetes,1e-13,0.0306,[0.023-0.039] unit decrease,GCST010557,32541925
rs2730827,PDZRN4,Type 2 diabetes,2e-13,0.0279,[0.02-0.035] unit decrease,GCST010557,32541925
rs9479,PML,Type 2 diabetes,4e-13,0.0271,[0.02-0.034] unit increase,GCST010557,32541925
rs17035289,RNU6-351P - TET2,Type 2 diabetes,2e-13,0.0357,[0.026-0.045] unit increase,GCST010557,32541925
rs667920,STAG1,Type 2 diabetes,6e-13,0.0324,[0.024-0.041] unit decrease,GCST010557,32541925
rs10916780,LINC01141,Type 2 diabetes,2e-13,0.0342,[0.025-0.043] unit decrease,GCST010557,32541925
rs6956980,STEAP2,Type 2 diabetes,1e-13,0.0284,[0.021-0.036] unit increase,GCST010557,32541925
rs6956980,STEAP2-AS1,Type 2 diabetes,1e-13,0.0284,[0.021-0.036] unit increase,GCST010557,32541925
rs583769,HDAC9,Type 2 diabetes,8e-13,0.0307,[0.022-0.039] unit decrease,GCST010557,32541925
rs36062478,PTEN,Type 2 diabetes,7e-13,0.0389,[0.028-0.049] unit increase,GCST010557,32541925
rs75080135,GGNBP1,Type 2 diabetes,2e-13,0.0357,[0.026-0.045] unit decrease,GCST010557,32541925
rs12419690,SLC35C1 - CRY2,Type 2 diabetes,1e-13,0.0298,[0.022-0.038] unit increase,GCST010557,32541925
rs1996617,DCUN1D4 - LRRC66,Type 2 diabetes,7e-13,0.0289,[0.021-0.037] unit increase,GCST010557,32541925
rs34573045,TM4SF4,Type 2 diabetes,2e-11,0.0311,[0.022-0.04] unit increase,GCST010555,32541925
rs56394279,TRIM59,Type 2 diabetes,5e-12,0.0314,[0.022-0.04] unit increase,GCST010555,32541925
rs56394279,B3GAT3P1,Type 2 diabetes,5e-12,0.0314,[0.022-0.04] unit increase,GCST010555,32541925
rs686998,NLGN1,Type 2 diabetes,6e-09,0.0267,[0.018-0.036] unit increase,GCST010555,32541925
rs10937208,C3orf70 - EHHADH-AS1,Type 2 diabetes,1e-10,0.0443,[0.031-0.058] unit increase,GCST010555,32541925
rs7619708,TFRC - LINC00885,Type 2 diabetes,3e-10,0.0334,[0.023-0.044] unit decrease,GCST010555,32541925
rs11940813,RPL21P46 - SLIT2,Type 2 diabetes,3e-08,0.0371,[0.024-0.05] unit increase,GCST010555,32541925
rs62310934,OCIAD1 - OCIAD2,Type 2 diabetes,1e-10,0.0304,[0.021-0.04] unit decrease,GCST010555,32541925
rs2055997,CDKL2,Type 2 diabetes,7e-10,0.0313,[0.021-0.041] unit increase,GCST010555,32541925
rs11723275,SHROOM3,Type 2 diabetes,4e-09,0.0269,[0.018-0.036] unit increase,GCST010555,32541925
rs3755879,UNC5C,Type 2 diabetes,6e-11,0.0326,[0.023-0.042] unit decrease,GCST010555,32541925
rs17035289,RNU6-351P - TET2,Type 2 diabetes,6e-12,0.0428,[0.031-0.055] unit increase,GCST010555,32541925
rs12509379,LARP1B - PGRMC2,Type 2 diabetes,3e-08,0.0312,[0.02-0.042] unit decrease,GCST010555,32541925
rs12505942,MAML3,Type 2 diabetes,7e-10,0.0298,[0.02-0.039] unit decrease,GCST010555,32541925
rs75686861,HHIP,Type 2 diabetes,4e-09,0.0469,[0.031-0.063] unit decrease,GCST010555,32541925
rs35901985,SORBS2,Type 2 diabetes,2e-08,0.0352,[0.023-0.047] unit decrease,GCST010555,32541925
rs114136102,UGT3A2 - LMBRD2,Type 2 diabetes,2e-09,0.072,[0.048-0.096] unit increase,GCST010555,32541925
rs2410767,TMEM161B-DT,Type 2 diabetes,7e-09,0.0325,[0.022-0.043] unit decrease,GCST010555,32541925
rs2410767,MIR9-2HG,Type 2 diabetes,7e-09,0.0325,[0.022-0.043] unit decrease,GCST010555,32541925
rs112667817,RPL7P19 - ETF1,Type 2 diabetes,6e-09,0.0609,[0.04-0.081] unit increase,GCST010555,32541925
rs727734,JARID2,Type 2 diabetes,3e-08,0.0295,[0.019-0.04] unit decrease,GCST010555,32541925
rs9368112,LNC-LBCS,Type 2 diabetes,3e-08,0.0259,[0.017-0.035] unit decrease,GCST010555,32541925
rs9296095,BAK1,Type 2 diabetes,5e-09,0.0341,[0.023-0.045] unit decrease,GCST010555,32541925
rs55812705,MFSD4B,Type 2 diabetes,7e-09,0.0305,[0.02-0.041] unit decrease,GCST010555,32541925
rs55812705,REV3L,Type 2 diabetes,7e-09,0.0305,[0.02-0.041] unit decrease,GCST010555,32541925
rs2008027,HEY2-AS1,Type 2 diabetes,4e-09,0.0272,[0.018-0.036] unit increase,GCST010555,32541925
rs197482,ADGRG6 - HIVEP2,Type 2 diabetes,3e-10,0.0298,[0.021-0.039] unit increase,GCST010555,32541925
rs9383649,RGS17,Type 2 diabetes,1e-12,0.0329,[0.024-0.042] unit increase,GCST010555,32541925
rs62450857,CYP3A54P - FOXK1,Type 2 diabetes,2e-08,0.0388,[0.025-0.052] unit decrease,GCST010555,32541925
rs13237518,TMEM106B,Type 2 diabetes,8e-10,0.0292,[0.02-0.038] unit decrease,GCST010555,32541925
rs38221,LINC02587 - CRPPA,Type 2 diabetes,7e-10,0.033,[0.023-0.043] unit decrease,GCST010555,32541925
rs583769,HDAC9,Type 2 diabetes,3e-09,0.0311,[0.021-0.041] unit decrease,GCST010555,32541925
rs17439448,SUGCT,Type 2 diabetes,3e-08,0.0404,[0.026-0.055] unit decrease,GCST010555,32541925
rs12539264,LINC02838 - GDI2P1,Type 2 diabetes,7e-09,0.0293,[0.02-0.039] unit increase,GCST010555,32541925
rs2876826,DDC,Type 2 diabetes,3e-08,0.0306,[0.02-0.041] unit increase,GCST010555,32541925
rs67755137,GTF2I-AS1,Type 2 diabetes,2e-08,0.0333,[0.022-0.045] unit decrease,GCST010555,32541925
rs67755137,GTF2I,Type 2 diabetes,2e-08,0.0333,[0.022-0.045] unit decrease,GCST010555,32541925
rs10240790,CFAP69,Type 2 diabetes,5e-08,0.0279,[0.018-0.038] unit increase,GCST010555,32541925
rs534043,POP7 - EPO,Type 2 diabetes,8e-10,0.0447,[0.03-0.059] unit increase,GCST010555,32541925
rs12056338,LINC03019,Type 2 diabetes,3e-11,0.0312,[0.022-0.04] unit decrease,GCST010555,32541925
rs17294565,SGCZ,Type 2 diabetes,5e-09,0.0274,[0.018-0.037] unit increase,GCST010555,32541925
rs1059592,CCAR2,Type 2 diabetes,2e-08,0.0269,[0.017-0.036] unit decrease,GCST010555,32541925
rs17818197,EBF2,Type 2 diabetes,5e-10,0.0346,[0.024-0.046] unit increase,GCST010555,32541925
rs62515938,LINC00968 - RPL37P6,Type 2 diabetes,3e-08,0.0286,[0.018-0.039] unit decrease,GCST010555,32541925
rs34340810,ZFPM2,Type 2 diabetes,4e-10,0.0544,[0.037-0.071] unit increase,GCST010555,32541925
rs2737226,TRPS1,Type 2 diabetes,3e-16,0.0383,[0.029-0.048] unit decrease,GCST010555,32541925
rs756145,H3P29 - LINC01230,Type 2 diabetes,6e-09,0.0286,[0.019-0.038] unit decrease,GCST010555,32541925
rs11793831,LINC01239 - SUMO2P2,Type 2 diabetes,4e-09,0.0274,[0.018-0.037] unit decrease,GCST010555,32541925
rs555784,MTCO3P40 - RPS6P12,Type 2 diabetes,2e-10,0.0301,[0.021-0.039] unit increase,GCST010555,32541925
rs7858727,EPB41L4B,Type 2 diabetes,8e-10,0.0344,[0.023-0.045] unit increase,GCST010555,32541925
rs1431819,COL27A1,Type 2 diabetes,6e-09,0.0293,[0.02-0.039] unit increase,GCST010555,32541925
rs7026688,STRBP,Type 2 diabetes,3e-11,0.0444,[0.031-0.058] unit increase,GCST010555,32541925
rs448918,VAV2 - BRD3OS,Type 2 diabetes,1e-09,0.0327,[0.022-0.043] unit decrease,GCST010555,32541925
rs878017,BEND7,Type 2 diabetes,1e-08,0.0348,[0.023-0.047] unit decrease,GCST010555,32541925
rs684214,NAGLU - HSD17B1P1,Type 2 diabetes,3e-16,0.0424,[0.032-0.053] unit decrease,GCST010555,32541925
rs9900074,NFE2L1-DT,Type 2 diabetes,3e-10,0.055,[0.038-0.072] unit increase,GCST010555,32541925
rs35895680,GIP - IGF2BP1,Type 2 diabetes,1.0000000000000001e-28,0.0559,[0.046-0.066] unit increase,GCST010555,32541925
rs1451506,SNRPGP17 - YPEL2,Type 2 diabetes,3e-08,0.0417,[0.027-0.056] unit decrease,GCST010555,32541925
rs4325,ACE,Type 2 diabetes,7e-14,0.0346,[0.026-0.044] unit increase,GCST010555,32541925
rs11655898,ERN1,Type 2 diabetes,6e-10,0.0594,[0.041-0.078] unit increase,GCST010555,32541925
rs2080090,BPTF,Type 2 diabetes,8e-19,0.0525,[0.041-0.064] unit decrease,GCST010555,32541925
rs7240767,LAMA1,Type 2 diabetes,5e-09,0.0368,[0.024-0.049] unit increase,GCST010555,32541925
rs72926932,TCF4,Type 2 diabetes,8e-20,0.0749,[0.059-0.091] unit increase,GCST010555,32541925
rs17684074,WDR7,Type 2 diabetes,4e-09,0.0312,[0.021-0.042] unit increase,GCST010555,32541925
rs1517037,SEC11C - GRP,Type 2 diabetes,3e-10,0.0375,[0.026-0.049] unit increase,GCST010555,32541925
rs663640,RNU4-17P - MC4R,Type 2 diabetes,1e-19,0.0503,[0.04-0.061] unit decrease,GCST010555,32541925
rs12454712,BCL2,Type 2 diabetes,8e-18,0.0412,[0.032-0.051] unit decrease,GCST010555,32541925
rs12977104,UHRF1,Type 2 diabetes,1e-12,0.0412,[0.03-0.053] unit decrease,GCST010555,32541925
rs17175860,INSR,Type 2 diabetes,3e-14,0.0445,[0.033-0.056] unit increase,GCST010555,32541925
rs2115107,LRRC8E - MAP2K7,Type 2 diabetes,8e-16,0.0382,[0.029-0.047] unit decrease,GCST010555,32541925
rs11666603,RPS29P23 - ZNF799,Type 2 diabetes,2e-09,0.0329,[0.022-0.044] unit increase,GCST010555,32541925
rs3111316,FARSA,Type 2 diabetes,3e-21,0.0442,[0.035-0.053] unit decrease,GCST010555,32541925
rs58542926,TM6SF2,Type 2 diabetes,5e-25,0.089,[0.072-0.106] unit decrease,GCST010555,32541925
rs10406327,PEPD,Type 2 diabetes,9e-16,0.037,[0.028-0.046] unit decrease,GCST010555,32541925
rs429358,APOE,Type 2 diabetes,4.0000000000000003e-28,0.073,[0.06-0.086] unit decrease,GCST010555,32541925
rs10407429,RN7SL836P - GIPR,Type 2 diabetes,5e-31,0.0539,[0.045-0.063] unit increase,GCST010555,32541925
rs11667244,ZC3H4,Type 2 diabetes,2e-12,0.0354,[0.026-0.045] unit increase,GCST010555,32541925
rs2268078,RALY,Type 2 diabetes,2e-15,0.0387,[0.029-0.048] unit decrease,GCST010555,32541925
rs12625671,HNF4A-AS1,Type 2 diabetes,7e-19,0.0653,[0.051-0.08] unit increase,GCST010555,32541925
rs12625671,HNF4A,Type 2 diabetes,7e-19,0.0653,[0.051-0.08] unit increase,GCST010555,32541925
rs6066138,EYA2,Type 2 diabetes,2e-18,0.0451,[0.035-0.055] unit increase,GCST010555,32541925
rs867489,CEBPB - PELATON,Type 2 diabetes,2e-11,0.0312,[0.022-0.04] unit increase,GCST010555,32541925
rs2426439,LINC01524,Type 2 diabetes,2e-14,0.0365,[0.027-0.046] unit increase,GCST010555,32541925
rs2252221,TSHZ2,Type 2 diabetes,4e-08,0.0248,[0.016-0.034] unit increase,GCST010555,32541925
rs911300,PIEZO1P2 - MIR296,Type 2 diabetes,5e-14,0.0348,[0.026-0.044] unit increase,GCST010555,32541925
rs4809369,ZBTB46 - C20orf181,Type 2 diabetes,4e-13,0.0337,[0.025-0.043] unit increase,GCST010555,32541925
rs5753043,HORMAD2 - LIF-AS1,Type 2 diabetes,4e-14,0.0613,[0.045-0.077] unit increase,GCST010555,32541925
rs117001013,YWHAH,Type 2 diabetes,1e-08,0.0474,[0.031-0.064] unit increase,GCST010555,32541925
rs5751061,EP300-AS1 - L3MBTL2,Type 2 diabetes,3e-08,0.0261,[0.017-0.035] unit increase,GCST010555,32541925
rs3747207,PNPLA3,Type 2 diabetes,9e-18,0.0471,[0.036-0.058] unit decrease,GCST010555,32541925
rs5771069,IL17REL,Type 2 diabetes,2e-12,0.0325,[0.023-0.042] unit increase,GCST010555,32541925
rs6978327,AOAH,Type 2 diabetes,5e-09,0.0233,[0.015-0.031] unit decrease,GCST010557,32541925
rs2272163,ROBO2,Type 2 diabetes,4e-09,0.0235,[0.016-0.031] unit increase,GCST010557,32541925
rs11173646,Y_RNA - DUX4L52,Type 2 diabetes,1e-09,0.0285,[0.019-0.038] unit decrease,GCST010557,32541925
rs9991328,FAM13A,Type 2 diabetes,2e-09,0.0227,[0.015-0.03] unit decrease,GCST010557,32541925
rs35753840,SGCZ,Type 2 diabetes,1e-09,0.0254,[0.017-0.034] unit increase,GCST010557,32541925
rs11199116,SEC23IP,Type 2 diabetes,1e-09,0.0306,[0.021-0.04] unit increase,GCST010557,32541925
rs28758542,GACAT3 - CYRIA,Type 2 diabetes,2e-09,0.0256,[0.017-0.034] unit decrease,GCST010557,32541925
rs705145,LINC02641,Type 2 diabetes,3e-09,0.0234,[0.016-0.031] unit decrease,GCST010557,32541925
rs3735491,CCM2 - NACAD,Type 2 diabetes,7e-09,0.025,[0.017-0.033] unit decrease,GCST010557,32541925
rs6479591,AOPEP,Type 2 diabetes,1e-09,0.0326,[0.022-0.043] unit decrease,GCST010557,32541925
rs13238568,GTF2I,Type 2 diabetes,2e-09,0.0248,[0.017-0.033] unit increase,GCST010557,32541925
rs13238568,GTF2I-AS1,Type 2 diabetes,2e-09,0.0248,[0.017-0.033] unit increase,GCST010557,32541925
rs117642733,KCNJ12,Type 2 diabetes,9e-09,0.0762,[0.05-0.102] unit decrease,GCST010557,32541925
rs10048404,WDR7,Type 2 diabetes,6e-09,0.0313,[0.021-0.042] unit increase,GCST010557,32541925
rs10159026,LINC02790,Type 2 diabetes,2e-09,0.0273,[0.018-0.036] unit increase,GCST010557,32541925
rs9411425,MED27,Type 2 diabetes,5e-09,0.0236,[0.016-0.031] unit increase,GCST010557,32541925
rs4129858,LAMC1,Type 2 diabetes,4e-09,0.0223,[0.015-0.03] unit increase,GCST010557,32541925
rs79598313,KDF1,Type 2 diabetes,5e-09,0.0867,[0.058-0.116] unit decrease,GCST010557,32541925
rs4252505,TRPV5,Type 2 diabetes,5e-09,0.0413,[0.028-0.055] unit increase,GCST010557,32541925
rs58090211,SLC1A2,Type 2 diabetes,3e-09,0.0539,[0.036-0.072] unit increase,GCST010557,32541925
rs6597649,FIBCD1,Type 2 diabetes,2e-09,0.0234,[0.016-0.031] unit decrease,GCST010557,32541925
rs4658234,WDR82P2 - HSP90B3P,Type 2 diabetes,9e-09,0.0295,[0.02-0.039] unit decrease,GCST010557,32541925
rs2633311,CAMK2G,Type 2 diabetes,3e-09,0.0237,[0.016-0.032] unit increase,GCST010557,32541925
rs858519,SHBG,Type 2 diabetes,1e-09,0.024,[0.016-0.032] unit decrease,GCST010557,32541925
rs4833687,PRDM5,Type 2 diabetes,3e-09,0.0267,[0.018-0.036] unit decrease,GCST010557,32541925
rs148106383,LINC02915 - THBS1,Type 2 diabetes,3e-09,0.0928,[0.062-0.123] unit decrease,GCST010557,32541925
rs529623,FXYD6-FXYD2,Type 2 diabetes,4e-09,0.0224,[0.015-0.03] unit decrease,GCST010557,32541925
rs529623,FXYD2,Type 2 diabetes,4e-09,0.0224,[0.015-0.03] unit decrease,GCST010557,32541925
rs6561273,SIAH3 - ZC3H13,Type 2 diabetes,8e-09,0.0303,[0.02-0.04] unit decrease,GCST010557,32541925
rs4942883,KPNA3 - RNY4P30,Type 2 diabetes,9e-09,0.0306,[0.02-0.041] unit increase,GCST010557,32541925
rs11929640,SIDT1,Type 2 diabetes,9e-09,0.0245,[0.016-0.033] unit decrease,GCST010557,32541925
rs62452060,CYP3A54P - FOXK1,Type 2 diabetes,2e-09,0.0354,[0.024-0.047] unit decrease,GCST010557,32541925
rs6870983,TMEM161B-DT,Type 2 diabetes,6e-09,0.0287,[0.019-0.038] unit increase,GCST010557,32541925
rs9869477,RBMS3,Type 2 diabetes,4e-09,0.0226,[0.015-0.03] unit increase,GCST010557,32541925
rs884847,NOS1,Type 2 diabetes,4e-09,0.0293,[0.02-0.039] unit decrease,GCST010557,32541925
rs3828242,ERBB4,Type 2 diabetes,6e-09,0.0252,[0.017-0.034] unit decrease,GCST010557,32541925
rs138771,TOM1,Type 2 diabetes,4e-09,0.0259,[0.017-0.035] unit decrease,GCST010557,32541925
rs12586772,SYNDIG1L - NPC2,Type 2 diabetes,6e-09,0.0228,[0.015-0.03] unit decrease,GCST010557,32541925
rs73146095,CGGBP1,Type 2 diabetes,8e-09,0.0406,[0.027-0.054] unit increase,GCST010557,32541925
rs73146095,ZNF654,Type 2 diabetes,8e-09,0.0406,[0.027-0.054] unit increase,GCST010557,32541925
rs978444,NSUN3 - ARMC10P1,Type 2 diabetes,4e-09,0.0229,[0.015-0.031] unit increase,GCST010557,32541925
rs723355,RPL10L - MDGA2,Type 2 diabetes,2e-09,0.0237,[0.016-0.031] unit increase,GCST010557,32541925
rs7316626,CHD4,Type 2 diabetes,3e-09,0.0322,[0.022-0.043] unit decrease,GCST010557,32541925
rs1812707,ADAMTSL3,Type 2 diabetes,6e-09,0.0227,[0.015-0.03] unit decrease,GCST010557,32541925
rs17810376,GLP2R,Type 2 diabetes,3e-09,0.0279,[0.019-0.037] unit increase,GCST010557,32541925
rs76263492,CACNA2D3,Type 2 diabetes,3e-09,0.0675,[0.045-0.09] unit decrease,GCST010557,32541925
rs7758115,HEY2-AS1,Type 2 diabetes,4e-09,0.0232,[0.016-0.031] unit decrease,GCST010557,32541925
rs12128213,CCNQP1 - LINC00862,Type 2 diabetes,2e-09,0.0256,[0.017-0.034] unit decrease,GCST010557,32541925
rs2252115,TSHZ2,Type 2 diabetes,1e-09,0.0237,[0.016-0.031] unit decrease,GCST010557,32541925
rs12856169,UBE2L5 - HMGB1,Type 2 diabetes,3e-09,0.0364,[0.024-0.048] unit increase,GCST010557,32541925
rs7274134,BBLNP1 - LINC00261,Type 2 diabetes,2e-09,0.0247,[0.017-0.033] unit increase,GCST010557,32541925
rs2125799,GUCY1B1,Type 2 diabetes,4e-09,0.0244,[0.016-0.032] unit increase,GCST010557,32541925
rs1470560,RNU6-243P - ARPP21,Type 2 diabetes,1e-09,0.0245,[0.017-0.032] unit decrease,GCST010557,32541925
rs72803684,KIF3C,Type 2 diabetes,6e-09,0.0666,[0.044-0.089] unit decrease,GCST010557,32541925
rs73642097,NFIB,Type 2 diabetes,2e-09,0.0291,[0.019-0.039] unit increase,GCST010557,32541925
rs59646751,IGF1R,Type 2 diabetes,3e-09,0.0241,[0.016-0.032] unit decrease,GCST010557,32541925
rs11870735,VPS53,Type 2 diabetes,8e-09,0.0314,[0.021-0.042] unit decrease,GCST010557,32541925
